exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,sheet_resistance
6608c896aebabf9376967554,Spring24_SolvTemp_JPM_71,0,80,20,90,33630
6608c9e9dc56149493af095c,Spring24_SolvTemp_JPM_72,0,70,30,90,25640
6608caee82f78f6f26d6f19f,Spring24_SolvTemp_JPM_73,10,80,10,90,28214
6608cbd08342d8f8563cd1e4,Spring24_SolvTemp_JPM_74,10,30,60,150,17646
6608ccf6dc56149493086e12,Spring24_SolvTemp_JPM_75,20,80,0,90,32054.00001
6608cdfadc561494932234c1,Spring24_SolvTemp_JPM_76,20,80,0,120,20645
6608ceed8342d8f856a0196a,Spring24_SolvTemp_JPM_77,10,90,0,90,29501
6608cfad8342d8f856b74347,Spring24_SolvTemp_JPM_78,10,90,0,210,20048
6608d077a6bd9adf4bb5f9d8,Spring24_SolvTemp_JPM_79,70,20,10,150,20157
6608d1405003d647417bcc34,Spring24_SolvTemp_JPM_80,80,20,0,150,20194
6608d21d82f78f6f26b8232c,Spring24_SolvTemp_JPM_81,0,30,70,150,13775
6608d2d2f8a43891b1226a6a,Spring24_SolvTemp_JPM_82,10,80,10,120,22415
6608d3738342d8f8561f96e4,Spring24_SolvTemp_JPM_83,0,80,20,240,30639
6608d4168342d8f85635fc38,Spring24_SolvTemp_JPM_84,0,70,30,270,47439.99999
6608d4a15003d64741e0a8ee,Spring24_SolvTemp_JPM_85,0,100,0,180,67929.99999
6608d55baebabf937623fae3,Spring24_SolvTemp_JPM_86,10,70,20,90,24799
6608d612f8a43891b17ccd63,Spring24_SolvTemp_JPM_87,10,70,20,270,36720
6608d6bbdc5614949313a8d8,Spring24_SolvTemp_JPM_88,20,70,10,270,39249.99999
6608d757aebabf93766de5c8,Spring24_SolvTemp_JPM_89,0,100,0,120,21635
6608d8038342d8f856ba4b28,Spring24_SolvTemp_JPM_90,20,80,0,240,29863
6608d8a9aebabf93769bc6f0,Spring24_SolvTemp_JPM_91,30,70,0,270,39009
6608d94082f78f6f268a2535,Spring24_SolvTemp_JPM_92,0,80,20,210,63500.00001
6608d9d082f78f6f269ab5b4,Spring24_SolvTemp_JPM_93,100,0,0,180,27454
6608dab6dc561494937f15dd,Spring24_SolvTemp_JPM_94,10,80,10,210,48300
6608db5881d775fd8443e48f,Spring24_SolvTemp_JPM_95,20,80,0,210,60159.99999
6608dc0782f78f6f26d806ee,Spring24_SolvTemp_JPM_96,0,90,10,120,22225
6704b9c6a5d90af508db2255,Spring24_SolvTemp_JPM_97,30,40,30,150,25752
6704beb484cfffa9c7ebaefc,Spring24_SolvTemp_JPM_98,30,30,40,180,31508.00001
6704c40cd95e1861d656e443,Spring24_SolvTemp_JPM_99,80,0,20,150,27749
6704c5853670825d4bb43615,Spring24_SolvTemp_JPM_100,30,30,40,120,38520
6704c703c3794f93ea10ff0d,Spring24_SolvTemp_JPM_101,30,70,0,150,61007.00001
6704c8cb8afb9cb01782309a,Spring24_SolvTemp_JPM_102,0,70,30,30,1581000
6704c9ef2191905155aff00d,Spring24_SolvTemp_JPM_103,60,0,40,150,55509.99999
6704cb253670825d4bdb23e0,Spring24_SolvTemp_JPM_104,20,80,0,30,2746000
6704cc8d2191905155c13522,Spring24_SolvTemp_JPM_105,30,50,20,180,67989.99999
6704cf108afb9cb017a7001d,Spring24_SolvTemp_JPM_106,30,0,70,30,98960.00001
6704d1b83670825d4b0b8ca1,Spring24_SolvTemp_JPM_107,0,30,70,30,166780
6704d2c8d95e1861d6b09ec3,Spring24_SolvTemp_JPM_108,0,40,60,270,158730
6704d3e832f8d61243f6ebbb,Spring24_SolvTemp_JPM_109,70,30,0,30,1249600
6704d5a92191905155ff68f6,Spring24_SolvTemp_JPM_110,50,20,30,270,89810.00001
6704d7ba84cfffa9c78b7331,Spring24_SolvTemp_JPM_111,70,0,30,180,18346
6704d90537c5561e157b7e94,Spring24_SolvTemp_JPM_112,80,0,20,60,125550
6704da258afb9cb017f04ed0,Spring24_SolvTemp_JPM_113,70,0,30,120,18003
6704db4b32f8d612432cffb2,Spring24_SolvTemp_JPM_114,50,0,50,120,21095
6704dc778afb9cb017fdd9e4,Spring24_SolvTemp_JPM_115,40,30,30,210,71679.99999
6704ddc037c5561e1596e8e0,Spring24_SolvTemp_JPM_116,0,20,80,270,100460
6704dec8d95e1861d6f32e64,Spring24_SolvTemp_JPM_117,80,20,0,60,174940
6704e4173670825d4b811acb,Spring24_SolvTemp_JPM_118,20,10,70,120,23366
6704e5ed3670825d4b8c51ab,Spring24_SolvTemp_JPM_119,40,20,40,240,57321.99999
6704e7885f13e5b38903ae65,Spring24_SolvTemp_JPM_120,40,10,50,30,158120
6704e96b84cfffa9c7f67c45,Spring24_SolvTemp_JPM_121,10,50,40,270,119590
6704ebae32f8d612438e0c63,Spring24_SolvTemp_JPM_122,0,50,50,30,741699.9999
6704ecd28afb9cb0175bd23b,Spring24_SolvTemp_JPM_123,10,60,30,150,69510
6704ede937c5561e15f8b132,Spring24_SolvTemp_JPM_124,70,30,0,270,116550
6704eef084cfffa9c71b570e,Spring24_SolvTemp_JPM_125,0,20,80,60,141470
6704f0428afb9cb01778fa8d,Spring24_SolvTemp_JPM_126,40,50,10,150,67500
6704f16d8afb9cb0177dc8ff,Spring24_SolvTemp_JPM_127,80,10,10,30,159360
6704f2d7d95e1861d6594310,Spring24_SolvTemp_JPM_128,0,10,90,90,67719.99999
